;Telescope run;Temperature;nChannels;Name;Voltage;;;;;;;;;;;;;;;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1504818689;3656;101;25;8;W9-LGA35;250;50D-GBGR2;300;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;
1504820576;3657;101;25;8;W9-LGA35;250;50D-GBGR2;300;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;
1504821761;3658;101;25;8;W9-LGA35;250;50D-GBGR2;300;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;
1504822722;3659;101;25;8;W9-LGA35;250;50D-GBGR2;300;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;
1504823703;3660;101;25;8;W9-LGA35;250;50D-GBGR2;300;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;
1504894541;3747;207;23;8;W9-LGA35;230;W9-LGA35;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;
1504895590;3748;207;23;8;W9-LGA35;230;W9-LGA35;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;
1504896394;3749;207;23;8;W9-LGA35;230;W9-LGA35;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;
1504897360;3750;207;23;8;W9-LGA35;230;W9-LGA35;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;
1504899897;3751;207;23;8;W9-LGA35;230;W9-LGA35;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;
1504901141;3752;207;23;8;W9-LGA35;230;W9-LGA35;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;
1504902956;3753;207;23;8;W9-LGA35;230;W9-LGA35;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;
1504903764;3754;207;23;8;W9-LGA35;230;W9-LGA35;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;
